itrdb_species_code,species_name,scientific_aliases,common_names,phylogenetic_group,leaf_habit,tree_ring_structure
PIJE,Pinus jeffreyi Balf.,[],"[""Jeffrey pine""]",gymnosperm,evergreen,non-porous
PIKE,Pinus kesiya Royle ex Gordon,[],"[""Khasi pine""]",gymnosperm,evergreen,non-porous
PIKO,Pinus koraiensis Sieb. & Zucc.,[],"[""Korean pine""]",gymnosperm,evergreen,non-porous
PILG,Pinus lagunae M.-F. Passini,[],"[""laguna pinyon""]",gymnosperm,evergreen,non-porous
PILA,Pinus lambertiana Douglas,[],"[""sugar pine""]",gymnosperm,evergreen,non-porous
PILR,Pinus laricio Poir.,"[""Pinus nigra""]",[],,,
PICH,Pinus leiophylla var. chihuahuana (Engelm.),[],"[""Shaw  chihuahua pine""]",gymnosperm,evergreen,non-porous
PILE,Pinus leucodermis Ant.,[],"[""Bosnian pine"", ""greybark pine"", ""pino loricato""]",gymnosperm,evergreen,non-porous
PILO,Pinus longaeva D.K. Bailey,"[""Pinus aristata var. longaeva""]","[""Intermountain bristlecone pine""]",gymnosperm,evergreen,non-porous
PILU,Pinus lumholtzii B.L.Rob. & Fernald,[],"[""Lumholtz pine"", ""Lumholtz's pine"", ""Pino triste""]",,,
PIMA,Pinus massoniana Lamb.,[],"[""Masson pine""]",gymnosperm,evergreen,non-porous
PIMK,Pinus merkusii Jungh. & De Vriese,[],"[""Merkus pine"", ""mindoro pine"", ""Tenasserim pine""]",gymnosperm,evergreen,non-porous
PIME,Pinus mesogeensis Fieschi & Gaussen,[],"[""cluster pine""]",gymnosperm,evergreen,non-porous
PIMO,Pinus monophylla Torr. & Frém.,[],"[""singleleaf pinyon""]",gymnosperm,evergreen,non-porous
PIMZ,Pinus montezumae Lamb.,[],"[""Montezuma pine""]",gymnosperm,evergreen,non-porous
PIMC,Pinus monticola Dougl. ex D. Don in Lamb.,[],"[""western white pine""]",gymnosperm,evergreen,non-porous
PIMU,Pinus mughus Scop.,"[""Pinus mugo Turra""]","[""krummholz pine""]",gymnosperm,evergreen,non-porous
PIMG,Pinus mugo Turra,"[""Pinus montana Mill.""]","[""mountain pine"", ""stone pine""]",gymnosperm,evergreen,non-porous
PIMR,Pinus muricata D.Don,[],"[""bishop pine""]",gymnosperm,evergreen,non-porous
PINI,Pinus nigra J.F. Arnold,[],"[""Austrian pine"", ""black pine""]",gymnosperm,evergreen,non-porous
PIOC,Pinus occidentalis Swartz,[],"[""West Indian pine""]",gymnosperm,evergreen,non-porous
PIOO,Pinus oocarpa Schiede,[],[],gymnosperm,evergreen,non-porous
PIPL,Pinus pallasiana,"[""Pinus nigra""]",[],,,
PIPA,Pinus palustris Mill.,[],"[""longleaf pine""]",gymnosperm,evergreen,non-porous
PIPT,Pinus patula Schiede & Deppe,[],"[""Mexican weeping pine""]",gymnosperm,evergreen,non-porous
PIPE,Pinus peuce Griseb.,[],"[""Macedonian pine"", ""Balkan pine""]",gymnosperm,evergreen,non-porous
PIPI,Pinus pinaster Aiton,[],"[""maritime pine"", ""cluster pine""]",gymnosperm,evergreen,non-porous
PIPN,Pinus pinea L.,[],"[""Italian stone pine"", ""umbrella pine""]",gymnosperm,evergreen,non-porous
PIPO,Pinus ponderosa Douglas ex C. Lawson,[],"[""ponderosa pine"", ""western yellow pine""]",gymnosperm,evergreen,non-porous
PIPS,Pinus pseudostrobus Lindl.,[],"[""False white pine"", ""False Weymouth pine"", ""Nicaraguan pine""]",,,
PIPM,Pinus pumila (Pall.) Regel,[],"[""dwarf Siberian pine"", ""Japanese stone pine""]",gymnosperm,evergreen,non-porous
PIPU,Pinus pungens Lamb.,[],"[""Table Mountain pine""]",gymnosperm,evergreen,non-porous
PIQU,Pinus quadrifolia Parl. ex Sudw.,[],"[""Parry pinyon""]",gymnosperm,evergreen,non-porous
PIRA,Pinus radiata D. Don,[],"[""Monterrey pine""]",gymnosperm,evergreen,non-porous
PIRE,Pinus resinosa Aiton,[],"[""red pine""]",gymnosperm,evergreen,non-porous
PIRI,Pinus rigida Mill.,[],"[""pitch pine""]",gymnosperm,evergreen,non-porous
PIRO,Pinus roxburghii Sarg.,"[""Pinus longifolia Roxb.""]","[""chir pine""]",gymnosperm,evergreen,non-porous
PISI,Pinus sibirica Du Tour,[],"[""Siberian stone pine""]",gymnosperm,evergreen,non-porous
PISP,Pinus spp. L.,[],"[""pine""]",gymnosperm,evergreen,non-porous
PISF,Pinus strobiformis Engelm.,[],"[""southwestern white pine""]",gymnosperm,evergreen,non-porous
PIST,Pinus strobus L.,[],"[""eastern white pine"", ""Weymouth pine""]",gymnosperm,evergreen,non-porous
PISY,Pinus sylvestris L.,[],"[""Scots pine"", ""Scotch pine""]",gymnosperm,evergreen,non-porous
PITB,Pinus tabulaeformis Carr.,[],"[""Chinese pine""]",gymnosperm,evergreen,non-porous
PITA,Pinus taeda L.,[],"[""loblolly pine""]",gymnosperm,evergreen,non-porous
PITW,Pinus taiwanensis Hayata,[],"[""Taiwan pine""]",,,
PITE,Pinus teocote Cham. & Schltdl.,[],"[""Aztec pine"", ""Mexican smallcone pine"", ""Twisted-leaved""]",,,
PITH,Pinus thunbergii Parl.,[],"[""Japanese black pine""]",gymnosperm,evergreen,non-porous
PITO,Pinus torreyana Parry ex Carrière,[],"[""Torrey Pine""]",gymnosperm,evergreen,non-porous
